,,Atlanta,Atlanta,Atlanta,Atlanta,Chicago,Chicago,Chicago,Chicago,Nashville,Nashville,Nashville,Nashville,LA,LA,LA,LA,NY,NY,NY,NY
Mon,12/2/2019,2485,2356,129,86090,6155,2002,4153,119626,10551,4869,5682,110049,10948,0,10948,137493,1931,0,1931,126591
Tue,12/3/2019,6404,952,5452,91542,9688,5371,4317,123943,0,6204,-6204,103845,4674,7854,-3180,134313,1184,0,1184,127775
Wed,12/4/2019,6629,5182,1447,92989,3467,11168,-7701,116242,2889,6105,-3216,100629,5787,0,5787,140100,16308,12851,3457,131232
Thu,12/5/2019,5729,0,5729,98718,3658,17625,-13967,102275,5031,3411,1620,102249,4279,5154,-875,139225,10122,6015,4107,135339
Fri,12/6/2019,0,4818,-4818,93900,10924,5032,5892,108167,4509,4175,334,102583,2582,8896,-6314,132911,10346,7025,3321,138660
Sat,12/7/2019,9781,0,9781,103681,8965,8220,745,108912,0,0,0,102583,2513,10568,-8055,124856,4614,4176,438,139098
Sun,12/8/2019,6490,21898,-15408,88273,3211,6300,-3089,105823,2149,2943,-794,101789,4162,7827,-3665,121191,5787,10149,-4362,134736
Mon,12/9/2019,4154,10111,-5957,82316,7222,1962,5260,111083,2057,16040,-13983,87806,4092,7817,-3725,117466,5639,13890,-8251,126485
Tue,12/10/2019,3851,6939,-3088,79228,6336,4435,1901,112984,1392,5152,-3760,84046,2819,5053,-2234,115232,23810,0,23810,150295
Wed,12/11/2019,7155,6528,627,79855,3132,6724,-3592,109392,5558,3701,1857,85903,7682,8112,-430,114802,2628,9541,-6913,143382
Thu,12/12/2019,4680,7482,-2802,77053,10259,12472,-2213,107179,13592,7884,5708,91611,12030,9873,2157,116959,7316,10494,-3178,140204
Fri,12/13/2019,9502,2650,6852,83905,4716,11811,-7095,100084,7788,2426,5362,96973,0,6603,-6603,110356,7539,5544,1995,142199
Sat,12/14/2019,6023,10021,-3998,79907,6016,5756,260,100344,2296,3631,-1335,95638,5347,6621,-1274,109082,4953,15293,-10340,131859
Sun,12/15/2019,2863,2572,291,80198,16640,6427,10213,110557,13959,5971,7988,103626,10705,1983,8722,117804,6892,8497,-1605,130254
Mon,12/16/2019,7241,1977,5264,85462,4589,3660,929,111486,4827,2149,2678,106304,0,15101,-15101,102703,9068,11031,-1963,128291
Tue,12/17/2019,4786,1426,3360,88822,10672,8614,2058,113544,5638,13576,-7938,98366,9791,0,9791,112494,8217,6316,1901,130192
Wed,12/18/2019,17059,5590,11469,100291,1994,0,1994,115538,5354,9169,-3815,94551,4636,8130,-3494,109000,8147,8305,-158,130034
Thu,12/19/2019,2021,4117,-2096,98195,2194,5718,-3524,112014,0,14594,-14594,79957,1516,14580,-13064,95936,4027,12514,-8487,121547
Fri,12/20/2019,7718,2504,5214,103409,1175,1501,-326,111688,6784,0,6784,86741,2852,10129,-7277,88659,12697,0,12697,134244
Sat,12/21/2019,5828,6725,-897,102512,9635,6150,3485,115173,10192,12606,-2414,84327,4818,7922,-3104,85555,5494,9878,-4384,129860
Sun,12/22/2019,12322,3511,8811,111323,6276,5479,797,115970,6661,11277,-4616,79711,12446,3021,9425,94980,6332,0,6332,136192
Mon,12/23/2019,5719,6026,-307,111016,8361,10927,-2566,113404,4817,0,4817,84528,6476,3973,2503,97483,13833,7386,6447,142639
Tue,12/24/2019,11711,9222,2489,113505,7334,7909,-575,112829,11733,2286,9447,93975,9784,10031,-247,97236,2353,11390,-9037,133602
Wed,12/25/2019,10820,6155,4665,118170,2239,8024,-5785,107044,2327,5410,-3083,90892,15275,0,15275,112511,2329,14874,-12545,121057
Thu,12/26/2019,7159,4032,3127,121297,1848,7277,-5429,101615,2529,691,1838,92730,8080,7012,1068,113579,6503,4046,2457,123514
Fri,12/27/2019,11361,5755,5606,126903,11406,6414,4992,106607,11170,6290,4880,97610,3108,3983,-875,112704,5956,9272,-3316,120198
Sat,12/28/2019,2061,7406,-5345,121558,2877,5228,-2351,104256,7775,2843,4932,102542,3754,7469,-3715,108989,6295,1972,4323,124521
Sun,12/29/2019,10007,3415,6592,128150,3315,1941,1374,105630,2810,1962,848,103390,2135,0,2135,111124,6914,8256,-1342,123179
Mon,12/30/2019,7848,4239,3609,131759,2478,21756,-19278,86352,10190,9331,859,104249,4647,4742,-95,111029,4816,3182,1634,124813
Tue,12/31/2019,7991,9476,-1485,130274,12445,5855,6590,92942,11074,10650,424,104673,0,9784,-9784,101245,7190,4520,2670,127483
Wed,1/1/2020,5651,6527,-876,129398,10256,5655,4601,97543,8562,8327,235,104908,2096,11257,-9161,92084,0,2135,-2135,125348
Thu,1/2/2020,0,5174,-5174,124224,12433,0,12433,109976,9686,2230,7456,112364,2304,5918,-3614,88470,10301,12451,-2150,123198
Fri,1/3/2020,1905,1691,214,124438,4041,12131,-8090,101886,9999,9627,372,112736,3855,0,3855,92325,3831,7091,-3260,119938
Sat,1/4/2020,4172,8287,-4115,120323,7542,1763,5779,107665,7360,4993,2367,115103,2533,5402,-2869,89456,707,6364,-5657,114281
Sun,1/5/2020,14591,9929,4662,124985,12209,9246,2963,110628,3832,0,3832,118935,8373,5121,3252,92708,4305,1070,3235,117516
Mon,1/6/2020,12903,10113,2790,127775,0,9970,-9970,100658,14562,5605,8957,127892,16240,0,16240,108948,13738,8771,4967,122483
Tue,1/7/2020,5607,12066,-6459,121316,3093,2916,177,100835,5114,4007,1107,128999,3512,1898,1614,110562,4228,16598,-12370,110113
Wed,1/8/2020,7589,7361,228,121544,5540,4185,1355,102190,2979,10596,-7617,121382,0,4626,-4626,105936,2257,6282,-4025,106088
Thu,1/9/2020,6234,13678,-7444,114100,8182,3392,4790,106980,11367,8582,2785,124167,5194,7028,-1834,104102,2288,8008,-5720,100368
Fri,1/10/2020,10893,3510,7383,121483,4794,16813,-12019,94961,10797,2818,7979,132146,1078,11510,-10432,93670,3330,5573,-2243,98125
Sat,1/11/2020,3230,5314,-2084,119399,11168,5280,5888,100849,1990,11326,-9336,122810,11928,3602,8326,101996,0,19162,-19162,78963
Sun,1/12/2020,13563,7557,6006,125405,8812,1144,7668,108517,6224,4986,1238,124048,2713,3138,-425,101571,5505,3889,1616,80579
Mon,1/13/2020,0,1029,-1029,124376,4441,12008,-7567,100950,22568,2431,20137,144185,2728,4909,-2181,99390,8552,0,8552,89131
Tue,1/14/2020,14352,11201,3151,127527,21959,5375,16584,117534,11854,6951,4903,149088,3262,4738,-1476,97914,13391,7960,5431,94562
Wed,1/15/2020,2785,0,2785,130312,8990,0,8990,126524,9989,3089,6900,155988,10096,7033,3063,100977,12127,2319,9808,104370
Thu,1/16/2020,10320,0,10320,140632,2687,6799,-4112,122412,10822,4572,6250,162238,8611,8474,137,101114,4748,7385,-2637,101733
Fri,1/17/2020,9643,12123,-2480,138152,5359,5201,158,122570,1949,10973,-9024,153214,7733,2533,5200,106314,2099,0,2099,103832
Sat,1/18/2020,5995,2850,3145,141297,1613,6094,-4481,118089,6152,6125,27,153241,1998,4515,-2517,103797,2593,5062,-2469,101363
Sun,1/19/2020,23245,3786,19459,160756,22715,6649,16066,134155,4656,17915,-13259,139982,5883,8688,-2805,100992,31646,5016,26630,127993
Mon,1/20/2020,8389,1835,6554,167310,10603,6662,3941,138096,9525,0,9525,149507,4245,3222,1023,102015,6145,6306,-161,127832
Tue,1/21/2020,5299,15183,-9884,157426,1383,1834,-451,137645,12590,9685,2905,152412,3141,0,3141,105156,5308,15389,-10081,117751
Wed,1/22/2020,4322,9053,-4731,152695,3940,6247,-2307,135338,11231,5352,5879,158291,9091,2713,6378,111534,2433,6314,-3881,113870
Thu,1/23/2020,4039,8607,-4568,148127,2454,7300,-4846,130492,13675,5179,8496,166787,9625,20834,-11209,100325,7883,5071,2812,116682
Fri,1/24/2020,6431,1341,5090,153217,9154,17035,-7881,122611,5587,10917,-5330,161457,18276,0,18276,118601,12919,1480,11439,128121
Sat,1/25/2020,2060,5940,-3880,149337,4299,6021,-1722,120889,8252,18569,-10317,151140,15888,4690,11198,129799,14409,7688,6721,134842
Sun,1/26/2020,6826,6626,200,149537,10669,14889,-4220,116669,2766,9291,-6525,144615,12878,10576,2302,132101,3945,3279,666,135508
Mon,1/27/2020,1565,7468,-5903,143634,7911,12645,-4734,111935,3385,11205,-7820,136795,2945,3590,-645,131456,7684,19047,-11363,124145
Tue,1/28/2020,4856,8205,-3349,140285,0,0,0,111935,6239,10554,-4315,132480,9776,2963,6813,138269,6482,12244,-5762,118383
Wed,1/29/2020,9567,14556,-4989,135296,12106,13402,-1296,110639,14075,10536,3539,136019,0,5667,-5667,132602,8239,11290,-3051,115332
Thu,1/30/2020,12892,10684,2208,137504,11741,10735,1006,111645,3570,6856,-3286,132733,3656,3512,144,132746,2689,4433,-1744,113588
Fri,1/31/2020,12244,13479,-1235,136269,16321,4217,12104,123749,4774,5171,-397,132336,15852,4654,11198,143944,9379,6087,3292,116880
Sat,2/1/2020,5681,0,5681,141950,7139,1144,5995,129744,3861,3896,-35,132301,1383,9691,-8308,135636,7135,13143,-6008,110872
Sun,2/2/2020,1453,1928,-475,141475,6448,5472,976,130720,6796,24943,-18147,114154,2377,12253,-9876,125760,7054,7469,-415,110457
Mon,2/3/2020,6477,4200,2277,143752,9190,4596,4594,135314,9168,7263,1905,116059,7384,10885,-3501,122259,1589,6151,-4562,105895
Tue,2/4/2020,3666,12701,-9035,134717,4825,7965,-3140,132174,12551,4335,8216,124275,15751,2325,13426,135685,12532,1167,11365,117260
Wed,2/5/2020,4608,5539,-931,133786,7955,4965,2990,135164,2097,8646,-6549,117726,5715,14481,-8766,126919,20410,5454,14956,132216
Thu,2/6/2020,8390,11974,-3584,130202,24364,15304,9060,144224,3457,7679,-4222,113504,9563,4050,5513,132432,3447,11368,-7921,124295
Fri,2/7/2020,3972,3184,788,130990,11072,7510,3562,147786,2473,10057,-7584,105920,6421,7006,-585,131847,6886,3253,3633,127928
Sat,2/8/2020,0,5948,-5948,125042,8314,4535,3779,151565,17306,2739,14567,120487,2237,2945,-708,131139,4910,7213,-2303,125625
Sun,2/9/2020,6022,12822,-6800,118242,4029,2163,1866,153431,9993,17536,-7543,112944,9751,7543,2208,133347,10053,11451,-1398,124227
Mon,2/10/2020,5157,19511,-14354,103888,8271,12060,-3789,149642,0,2269,-2269,110675,1552,5597,-4045,129302,2786,0,2786,127013
Tue,2/11/2020,7806,3501,4305,108193,2510,3800,-1290,148352,4723,6698,-1975,108700,2668,9896,-7228,122074,6460,7479,-1019,125994
Wed,2/12/2020,12695,9526,3169,111362,1277,13731,-12454,135898,3646,16333,-12687,96013,11937,1804,10133,132207,3641,6255,-2614,123380
Thu,2/13/2020,10502,4139,6363,117725,18413,4638,13775,149673,4439,5931,-1492,94521,6053,14105,-8052,124155,2975,0,2975,126355
Fri,2/14/2020,8547,2892,5655,123380,11568,2636,8932,158605,2672,0,2672,97193,2588,20888,-18300,105855,3728,9848,-6120,120235
Sat,2/15/2020,3993,14998,-11005,112375,4553,6953,-2400,156205,4569,8920,-4351,92842,7962,6277,1685,107540,5723,7317,-1594,118641
Sun,2/16/2020,3125,6408,-3283,109092,6030,9761,-3731,152474,1963,4085,-2122,90720,11629,4863,6766,114306,7237,7860,-623,118018
Mon,2/17/2020,11962,8367,3595,112687,7011,13600,-6589,145885,5262,5999,-737,89983,3360,13440,-10080,104226,1639,8156,-6517,111501
Tue,2/18/2020,6199,0,6199,118886,10450,4939,5511,151396,11081,8537,2544,92527,5392,5667,-275,103951,1835,9690,-7855,103646
Wed,2/19/2020,4162,9018,-4856,114030,9595,10794,-1199,150197,6426,1750,4676,97203,7510,5138,2372,106323,6273,7247,-974,102672
Thu,2/20/2020,1870,12924,-11054,102976,964,13976,-13012,137185,5624,6109,-485,96718,10602,3903,6699,113022,1025,9045,-8020,94652
Fri,2/21/2020,1234,3625,-2391,100585,2947,16022,-13075,124110,10549,5743,4806,101524,6841,5359,1482,114504,5404,10953,-5549,89103
Sat,2/22/2020,1344,3989,-2645,97940,2111,0,2111,126221,7556,7007,549,102073,0,18013,-18013,96491,14581,0,14581,103684
Sun,2/23/2020,1567,8764,-7197,90743,4336,11967,-7631,118590,4150,6270,-2120,99953,3384,0,3384,99875,14095,13135,960,104644
Mon,2/24/2020,6023,5391,632,91375,11912,5012,6900,125490,2150,4976,-2826,97127,10817,7282,3535,103410,9434,6313,3121,107765
Tue,2/25/2020,11862,10107,1755,93130,1379,4630,-3251,122239,5689,2114,3575,100702,2051,5443,-3392,100018,1660,4228,-2568,105197
Wed,2/26/2020,0,7269,-7269,85861,9067,15052,-5985,116254,6686,6700,-14,100688,7163,3894,3269,103287,2292,4257,-1965,103232
Thu,2/27/2020,1745,10577,-8832,77029,10023,6207,3816,120070,11111,1963,9148,109836,8989,8954,35,103322,8284,1733,6551,109783
Fri,2/28/2020,8112,2161,5951,82980,5136,6519,-1383,118687,8159,11361,-3202,106634,5717,3739,1978,105300,16974,0,16974,126757
Sat,2/29/2020,14574,5175,9399,92379,6383,7237,-854,117833,4174,4541,-367,106267,8861,2202,6659,111959,11370,5875,5495,132252
Sun,3/1/2020,1664,4395,-2731,89648,0,11254,-11254,106579,3964,5788,-1824,104443,6051,1564,4487,116446,1178,15136,-13958,118294
Mon,3/2/2020,8544,14609,-6065,83583,7947,3050,4897,111476,3154,5296,-2142,102301,8837,14207,-5370,111076,4324,9565,-5241,113053
Tue,3/3/2020,0,7442,-7442,76141,4037,12768,-8731,102745,16867,0,16867,119168,3865,4064,-199,110877,18045,4796,13249,126302
Wed,3/4/2020,7583,4808,2775,78916,14479,6373,8106,110851,787,4115,-3328,115840,3376,0,3376,114253,12229,11815,414,126716
Thu,3/5/2020,0,5578,-5578,73338,2237,9968,-7731,103120,4385,4149,236,116076,8325,7382,943,115196,3472,2226,1246,127962
Fri,3/6/2020,4132,0,4132,77470,7004,2379,4625,107745,0,2150,-2150,113926,9807,10668,-861,114335,3704,0,3704,131666
Sat,3/7/2020,7249,0,7249,84719,1740,11177,-9437,98308,13110,11981,1129,115055,15424,4202,11222,125557,6397,4631,1766,133432
Sun,3/8/2020,0,2275,-2275,82444,0,4608,-4608,93700,8964,6708,2256,117311,3941,6740,-2799,122758,7026,15068,-8042,125390
Mon,3/9/2020,13567,8955,4612,87056,5103,8286,-3183,90517,0,2251,-2251,115060,3644,7075,-3431,119327,1455,7759,-6304,119086
Tue,3/10/2020,11020,2394,8626,95682,20518,2557,17961,108478,17486,4446,13040,128100,5718,3678,2040,121367,4477,6168,-1691,117395
Wed,3/11/2020,5864,2856,3008,98690,6427,10418,-3991,104487,9042,6386,2656,130756,6277,5256,1021,122388,8879,0,8879,126274
Thu,3/12/2020,5168,4367,801,99491,6853,2243,4610,109097,0,8711,-8711,122045,3189,10388,-7199,115189,994,3214,-2220,124054
Fri,3/13/2020,10419,0,10419,109910,2246,5862,-3616,105481,5527,5822,-295,121750,3813,3384,429,115618,0,3310,-3310,120744
Sat,3/14/2020,1013,6359,-5346,104564,11276,886,10390,115871,2570,10494,-7924,113826,1616,1331,285,115903,6979,10772,-3793,116951
Sun,3/15/2020,7137,9229,-2092,102472,0,0,0,115871,7715,2699,5016,118842,1117,12110,-10993,104910,4565,10443,-5878,111073
Mon,3/16/2020,3754,0,3754,106226,1437,4711,-3274,112597,2879,10079,-7200,111642,7426,3038,4388,109298,2302,11314,-9012,102061
Tue,3/17/2020,15416,9809,5607,111833,0,4878,-4878,107719,4930,4238,692,112334,6459,0,6459,115757,7966,2427,5539,107600
Wed,3/18/2020,0,4039,-4039,107794,9947,0,9947,117666,1428,7223,-5795,106539,5615,3919,1696,117453,3202,4770,-1568,106032
Thu,3/19/2020,11861,4162,7699,115493,5349,15583,-10234,107432,0,11174,-11174,95365,6159,9292,-3133,114320,9314,10783,-1469,104563
Fri,3/20/2020,20614,2260,18354,133847,3731,5190,-1459,105973,6740,1808,4932,100297,2492,0,2492,116812,2014,7554,-5540,99023
Sat,3/21/2020,5235,7540,-2305,131542,2539,1982,557,106530,1689,11564,-9875,90422,2482,6701,-4219,112593,3295,5504,-2209,96814
Sun,3/22/2020,0,2486,-2486,129056,8004,4379,3625,110155,4919,2981,1938,92360,885,14551,-13666,98927,16145,855,15290,112104
Mon,3/23/2020,6892,6072,820,129876,0,11706,-11706,98449,12078,5835,6243,98603,6477,5952,525,99452,3804,0,3804,115908
Tue,3/24/2020,5770,1772,3998,133874,15251,1437,13814,112263,5260,12731,-7471,91132,0,4924,-4924,94528,6440,3499,2941,118849
Wed,3/25/2020,4393,4163,230,134104,13332,9602,3730,115993,11081,787,10294,101426,1821,9655,-7834,86694,6736,4763,1973,120822
Thu,3/26/2020,3321,2210,1111,135215,3159,0,3159,119152,1357,3556,-2199,99227,9106,5742,3364,90058,0,11691,-11691,109131
Fri,3/27/2020,4444,8372,-3928,131287,0,1630,-1630,117522,1343,9130,-7787,91440,1888,10462,-8574,81484,3943,0,3943,113074
Sat,3/28/2020,4214,11679,-7465,123822,2926,4252,-1326,116196,0,2793,-2793,88647,4648,7068,-2420,79064,5495,6308,-813,112261
Sun,3/29/2020,5283,8159,-2876,120946,7995,4277,3718,119914,1928,13701,-11773,76874,5971,0,5971,85035,5989,5227,762,113023
Mon,3/30/2020,20637,3763,16874,137820,8192,0,8192,128106,4446,3540,906,77780,4546,4093,453,85488,8498,20806,-12308,100715
Tue,3/31/2020,5725,16383,-10658,127162,7877,7116,761,128867,0,4135,-4135,73645,4752,21748,-16996,68492,5403,5619,-216,100499
Wed,4/1/2020,5677,1098,4579,131741,10568,9576,992,129859,3624,10083,-6459,67186,1357,0,1357,69849,2171,9419,-7248,93251
Thu,4/2/2020,5768,10810,-5042,126699,16843,12912,3931,133790,3666,0,3666,70852,7640,2674,4966,74815,8937,5387,3550,96801
Fri,4/3/2020,8835,4660,4175,130874,12345,4555,7790,141580,5485,2979,2506,73358,3694,4698,-1004,73811,6977,7441,-464,96337
Sat,4/4/2020,4774,5547,-773,130101,3456,13212,-9756,131824,3635,0,3635,76993,0,1639,-1639,72172,3262,9123,-5861,90476
Sun,4/5/2020,5953,9815,-3862,126239,11097,10671,426,132250,8422,4503,3919,80912,12818,3486,9332,81504,11830,8083,3747,94223
Mon,4/6/2020,5374,6858,-1484,124755,0,17944,-17944,114306,6054,11902,-5848,75064,5012,0,5012,86516,9288,1011,8277,102500
Tue,4/7/2020,17446,10092,7354,132109,0,5578,-5578,108728,3720,4328,-608,74456,0,14585,-14585,71931,8961,7553,1408,103908
Wed,4/8/2020,1801,4821,-3020,129089,5376,0,5376,114104,0,1195,-1195,73261,8374,0,8374,80305,0,6642,-6642,97266
Thu,4/9/2020,10741,6795,3946,133035,2324,13145,-10821,103283,12488,2415,10073,83334,7478,2282,5196,85501,10119,0,10119,107385
Fri,4/10/2020,8826,11440,-2614,130421,7849,1922,5927,109210,0,3515,-3515,79819,2596,13330,-10734,74767,5988,4988,1000,108385
Sat,4/11/2020,6147,4025,2122,132543,4127,9840,-5713,103497,7392,1428,5964,85783,586,4722,-4136,70631,11348,1239,10109,118494
Sun,4/12/2020,2858,0,2858,135401,4211,9065,-4854,98643,4670,0,4670,90453,1579,641,938,71569,4232,3638,594,119088
Mon,4/13/2020,2546,9063,-6517,128884,1525,4511,-2986,95657,7472,10039,-2567,87886,4862,1449,3413,74982,8224,19553,-11329,107759
Tue,4/14/2020,4823,4087,736,129620,8201,4212,3989,99646,7962,3792,4170,92056,12749,0,12749,87731,5330,0,5330,113089
Wed,4/15/2020,4794,15794,-11000,118620,4180,12484,-8304,91342,6998,3535,3463,95519,0,3980,-3980,83751,8497,3110,5387,118476
Thu,4/16/2020,6884,13580,-6696,111924,5418,15621,-10203,81139,14877,0,14877,110396,0,7906,-7906,75845,5368,0,5368,123844
Fri,4/17/2020,3245,12521,-9276,102648,3914,0,3914,85053,3859,0,3859,114255,9291,4321,4970,80815,0,9560,-9560,114284
Sat,4/18/2020,10725,11244,-519,102129,3354,3863,-509,84544,6562,11460,-4898,109357,14042,1537,12505,93320,13428,15135,-1707,112577
Sun,4/19/2020,5632,9305,-3673,98456,5387,3066,2321,86865,8177,4993,3184,112541,3001,0,3001,96321,0,3687,-3687,108890
Mon,4/20/2020,8536,4897,3639,102095,10000,12391,-2391,84474,2301,2411,-110,112431,8164,3936,4228,100549,2092,5428,-3336,105554
Tue,4/21/2020,1486,3009,-1523,100572,8149,3621,4528,89002,10894,4444,6450,118881,5661,2498,3163,103712,2387,3262,-875,104679
Wed,4/22/2020,16236,1755,14481,115053,0,8242,-8242,80760,5081,5854,-773,118108,5914,2048,3866,107578,7400,12299,-4899,99780
Thu,4/23/2020,8875,4393,4482,119535,5054,2571,2483,83243,6530,11409,-4879,113229,0,0,0,107578,0,5313,-5313,94467
Fri,4/24/2020,6545,2546,3999,123534,6265,0,6265,89508,0,10747,-10747,102482,1323,10641,-9318,98260,14238,7159,7079,101546
Sat,4/25/2020,13256,3701,9555,133089,13921,3524,10397,99905,0,0,0,102482,8344,12191,-3847,94413,5678,3663,2015,103561
Sun,4/26/2020,10846,6803,4043,137132,7274,0,7274,107179,14845,0,14845,117327,2269,4229,-1960,92453,3563,1920,1643,105204
Mon,4/27/2020,2375,5343,-2968,134164,10583,7862,2721,109900,13849,16756,-2907,114420,22661,2778,19883,112336,2262,3885,-1623,103581
Tue,4/28/2020,5482,4367,1115,135279,6392,7083,-691,109209,6146,1053,5093,119513,5268,15222,-9954,102382,4598,14733,-10135,93446
Wed,4/29/2020,6663,11746,-5083,130196,0,833,-833,108376,0,0,0,119513,3569,11864,-8295,94087,5651,8409,-2758,90688
Thu,4/30/2020,6521,0,6521,136717,18886,6321,12565,120941,7448,14255,-6807,112706,16723,0,16723,110810,17823,2088,15735,106423
Fri,5/1/2020,3306,6987,-3681,133036,4969,6038,-1069,119872,7938,5897,2041,114747,5671,3068,2603,113413,5576,2326,3250,109673
Sat,5/2/2020,0,18627,-18627,114409,12535,4711,7824,127696,2509,8586,-6077,108670,15547,4023,11524,124937,4820,11725,-6905,102768
Sun,5/3/2020,0,5466,-5466,108943,1415,0,1415,129111,5408,0,5408,114078,5760,8252,-2492,122445,0,2767,-2767,100001
Mon,5/4/2020,4151,7683,-3532,105411,6326,1936,4390,133501,3183,14679,-11496,102582,7553,928,6625,129070,0,7772,-7772,92229
Tue,5/5/2020,17108,12189,4919,110330,5179,10276,-5097,128404,1753,4127,-2374,100208,9382,8936,446,129516,6334,6538,-204,92025
Wed,5/6/2020,3097,10729,-7632,102698,10917,19086,-8169,120235,2932,7970,-5038,95170,2276,0,2276,131792,0,2019,-2019,90006
Thu,5/7/2020,6468,13001,-6533,96165,9152,10435,-1283,118952,2110,5084,-2974,92196,12397,2269,10128,141920,0,3527,-3527,86479
Fri,5/8/2020,1664,0,1664,97829,5661,3491,2170,121122,0,4434,-4434,87762,12449,6366,6083,148003,2592,6099,-3507,82972
Sat,5/9/2020,6859,5458,1401,99230,4530,3920,610,121732,7700,4114,3586,91348,4004,1349,2655,150658,3253,9118,-5865,77107
Sun,5/10/2020,1806,9169,-7363,91867,6363,2527,3836,125568,14618,3257,11361,102709,2029,5419,-3390,147268,1931,0,1931,79038
Mon,5/11/2020,0,0,0,91867,7828,2981,4847,130415,2047,3183,-1136,101573,10219,0,10219,157487,10267,9603,664,79702
Tue,5/12/2020,1648,4689,-3041,88826,4897,4178,719,131134,10851,3867,6984,108557,9790,7906,1884,159371,6755,4619,2136,81838
Wed,5/13/2020,8219,7354,865,89691,15569,6284,9285,140419,2747,0,2747,111304,0,15364,-15364,144007,4092,10539,-6447,75391
Thu,5/14/2020,2242,17113,-14871,74820,5948,1415,4533,144952,6330,15956,-9626,101678,8329,2999,5330,149337,5921,2454,3467,78858
Fri,5/15/2020,3964,3306,658,75478,3027,10088,-7061,137891,6570,10569,-3999,97679,2275,13118,-10843,138494,6255,2902,3353,82211
Sat,5/16/2020,10524,4295,6229,81707,5580,11594,-6014,131877,5204,11457,-6253,91426,4441,6245,-1804,136690,10526,0,10526,92737
Sun,5/17/2020,9148,0,9148,90855,11961,10146,1815,133692,0,2130,-2130,89296,3655,3143,512,137202,8027,14473,-6446,86291
Mon,5/18/2020,0,0,0,90855,2990,9558,-6568,127124,13641,2107,11534,100830,4401,5311,-910,136292,4706,6013,-1307,84984
Tue,5/19/2020,1834,6010,-4176,86679,1639,7238,-5599,121525,0,5425,-5425,95405,0,17467,-17467,118825,7513,1645,5868,90852
Wed,5/20/2020,0,4311,-4311,82368,0,20556,-20556,100969,8694,3751,4943,100348,15367,8604,6763,125588,0,5060,-5060,85792
Thu,5/21/2020,15282,21313,-6031,76337,1092,1401,-309,100660,7440,17078,-9638,90710,5240,9155,-3915,121673,7753,0,7753,93545
Fri,5/22/2020,0,3546,-3546,72791,3863,4114,-251,100409,4649,1584,3065,93775,3393,3314,79,121752,0,1931,-1931,91614
Sat,5/23/2020,3340,3838,-498,72293,2287,15143,-12856,87553,2261,0,2261,96036,8942,11884,-2942,118810,9971,5565,4406,96020
Sun,5/24/2020,12939,2978,9961,82254,3629,9616,-5987,81566,2332,13893,-11561,84475,1247,3682,-2435,116375,4819,5284,-465,95555
Mon,5/25/2020,5024,4892,132,82386,8832,10457,-1625,79941,4269,2110,2159,86634,7767,806,6961,123336,6426,10164,-3738,91817
Tue,5/26/2020,0,2381,-2381,80005,19125,0,19125,99066,5613,5775,-162,86472,10371,13196,-2825,120511,4561,10061,-5500,86317
Wed,5/27/2020,13361,9493,3868,83873,2880,6037,-3157,95909,0,4109,-4109,82363,3267,2182,1085,121596,3077,0,3077,89394
Thu,5/28/2020,7227,6657,570,84443,3766,4424,-658,95251,11278,10635,643,83006,7172,16430,-9258,112338,2646,4422,-1776,87618
Fri,5/29/2020,4456,6636,-2180,82263,5622,5491,131,95382,2866,1305,1561,84567,4040,13058,-9018,103320,10086,5549,4537,92155
Sat,5/30/2020,0,2493,-2493,79770,0,1648,-1648,93734,14041,2047,11994,96561,703,4698,-3995,99325,11347,7239,4108,96263
Sun,5/31/2020,16665,0,16665,96435,8535,9621,-1086,92648,2930,16434,-13504,83057,5442,7937,-2495,96830,9169,3338,5831,102094
Mon,6/1/2020,5266,3206,2060,98495,0,3629,-3629,89019,0,0,0,83057,1950,11037,-9087,87743,6857,3599,3258,105352
Tue,6/2/2020,7658,3212,4446,102941,1515,6753,-5238,83781,7557,4202,3355,86412,9686,5097,4589,92332,0,11971,-11971,93381
Wed,6/3/2020,2408,0,2408,105349,10022,5643,4379,88160,5564,2617,2947,89359,9851,4620,5231,97563,5468,2399,3069,96450
Thu,6/4/2020,4242,5704,-1462,103887,3595,0,3595,91755,3277,3568,-291,89068,5178,10382,-5204,92359,4500,0,4500,100950
Fri,6/5/2020,4150,7894,-3744,100143,6426,8504,-2078,89677,3654,3746,-92,88976,2516,2924,-408,91951,5260,9303,-4043,96907
Sat,6/6/2020,1529,0,1529,101672,1557,4653,-3096,86581,6765,2847,3918,92894,3088,2080,1008,92959,5933,857,5076,101983
Sun,6/7/2020,12568,0,12568,114240,5872,7904,-2032,84549,5585,4180,1405,94299,6828,4040,2788,95747,0,4759,-4759,97224
Mon,6/8/2020,5497,3221,2276,116516,7139,8961,-1822,82727,5164,1552,3612,97911,5915,4791,1124,96871,0,6165,-6165,91059
Tue,6/9/2020,5048,6193,-1145,115371,1974,3454,-1480,81247,0,9458,-9458,88453,7371,8954,-1583,95288,0,2161,-2161,88898
Wed,6/10/2020,3557,3480,77,115448,1438,4819,-3381,77866,7318,9915,-2597,85856,9602,4115,5487,100775,0,0,0,88898
Thu,6/11/2020,0,12657,-12657,102791,6670,2443,4227,82093,7865,12873,-5008,80848,7627,5319,2308,103083,7252,2651,4601,93499
